cyrillic,romanized,type
А,a,1
Е,e,1
Ё,yo,1
И,i,1
О,o,1
У,u,1
Ы,eu,1
Э,e,1
Ю,yu,1
Я,ya,1
АБ,ab,2
АВ,av,2
АГ,ag,2
АД,ad,2
АЖ,azh,2
АЗ,az,2
АЙ,ay,2
АК,ak,2
АЛ,al,2
АМ,am,2
АН,an,2
АП,ap,2
АР,ar,2
АС,as,2
АТ,at,2
АФ,af,2
АХ,akh,2
АЦ,ats,2
АЧ,ach,2
АШ,ash,2
АЩ,ashch,2
ЕБ,eb,2
ЕВ,ev,2
ЕГ,eg,2
ЕД,ed,2
ЕЖ,ezh,2
ЕЗ,ez,2
ЕЙ,ey,2
ЕК,ek,2
ЕЛ,el,2
ЕМ,em,2
ЕН,en,2
ЕП,ep,2
ЕР,er,2
ЕС,es,2
ЕТ,et,2
ЕФ,ef,2
ЕХ,ekh,2
ЕЦ,ets,2
ЕЧ,ech,2
ЕШ,esh,2
ЕЩ,eshch,2
ЁБ,yob,2
ЁВ,yov,2
ЁГ,yog,2
ЁД,yod,2
ЁЖ,yozh,2
ЁЗ,yoz,2
ЁЙ,yoy,2
ЁК,yok,2
ЁЛ,yol,2
ЁМ,yom,2
ЁН,yon,2
ЁП,yop,2
ЁР,yor,2
ЁС,yos,2
ЁТ,yot,2
ЁФ,yof,2
ЁХ,yokh,2
ЁЦ,yots,2
ЁЧ,yoch,2
ЁШ,yosh,2
ЁЩ,yoshch,2
ИБ,ib,2
ИВ,iv,2
ИГ,ig,2
ИД,id,2
ИЖ,izh,2
ИЗ,iz,2
ИЙ,iy,2
ИК,ik,2
ИЛ,il,2
ИМ,im,2
ИН,in,2
ИП,ip,2
ИР,ir,2
ИС,is,2
ИТ,it,2
ИФ,if,2
ИХ,ikh,2
ИЦ,its,2
ИЧ,ich,2
ИШ,ish,2
ИЩ,ishch,2
ОБ,ob,2
ОВ,ov,2
ОГ,og,2
ОД,od,2
ОЖ,ozh,2
ОЗ,oz,2
ОЙ,oy,2
ОК,ok,2
ОЛ,ol,2
ОМ,om,2
ОН,on,2
ОП,op,2
ОР,or,2
ОС,os,2
ОТ,ot,2
ОФ,of,2
ОХ,okh,2
ОЦ,ots,2
ОЧ,och,2
ОШ,osh,2
ОЩ,oshch,2
УБ,ub,2
УВ,uv,2
УГ,ug,2
УД,ud,2
УЖ,uzh,2
УЗ,uz,2
УЙ,uy,2
УК,uk,2
УЛ,ul,2
УМ,um,2
УН,un,2
УП,up,2
УР,ur,2
УС,us,2
УТ,ut,2
УФ,uf,2
УХ,ukh,2
УЦ,uts,2
УЧ,uch,2
УШ,ush,2
УЩ,ushch,2
ЫБ,eub,2
ЫВ,euv,2
ЫГ,eug,2
ЫД,eud,2
ЫЖ,euzh,2
ЫЗ,euz,2
ЫЙ,euy,2
ЫК,euk,2
ЫЛ,eul,2
ЫМ,eum,2
ЫН,eun,2
ЫП,eup,2
ЫР,eur,2
ЫС,eus,2
ЫТ,eut,2
ЫФ,euf,2
ЫХ,eukh,2
ЫЦ,euts,2
ЫЧ,euch,2
ЫШ,eush,2
ЫЩ,eushch,2
ЭБ,eb,2
ЭВ,ev,2
ЭГ,eg,2
ЭД,ed,2
ЭЖ,ezh,2
ЭЗ,ez,2
ЭЙ,ey,2
ЭК,ek,2
ЭЛ,el,2
ЭМ,em,2
ЭН,en,2
ЭП,ep,2
ЭР,er,2
ЭС,es,2
ЭТ,et,2
ЭФ,ef,2
ЭХ,ekh,2
ЭЦ,ets,2
ЭЧ,ech,2
ЭШ,esh,2
ЭЩ,eshch,2
ЮБ,yub,2
ЮВ,yuv,2
ЮГ,yug,2
ЮД,yud,2
ЮЖ,yuzh,2
ЮЗ,yuz,2
ЮЙ,yuy,2
ЮК,yuk,2
ЮЛ,yul,2
ЮМ,yum,2
ЮН,yun,2
ЮП,yup,2
ЮР,yur,2
ЮС,yus,2
ЮТ,yut,2
ЮФ,yuf,2
ЮХ,yukh,2
ЮЦ,yuts,2
ЮЧ,yuch,2
ЮШ,yush,2
ЮЩ,yushch,2
ЯБ,yab,2
ЯВ,yav,2
ЯГ,yag,2
ЯД,yad,2
ЯЖ,yazh,2
ЯЗ,yaz,2
ЯЙ,yay,2
ЯК,yak,2
ЯЛ,yal,2
ЯМ,yam,2
ЯН,yan,2
ЯП,yap,2
ЯР,yar,2
ЯС,yas,2
ЯТ,yat,2
ЯФ,yaf,2
ЯХ,yakh,2
ЯЦ,yats,2
ЯЧ,yach,2
ЯШ,yash,2
ЯЩ,yashch,2
БА,ba,3
БЕ,be,3
БЁ,byo,3
БИ,bi,3
БО,bo,3
БУ,bu,3
БЫ,beu,3
БЭ,be,3
БЮ,byu,3
БЯ,bya,3
ВА,va,3
ВЕ,ve,3
ВЁ,vyo,3
ВИ,vi,3
ВО,vo,3
ВУ,vu,3
ВЫ,veu,3
ВЭ,ve,3
ВЮ,vyu,3
ВЯ,vya,3
ГА,ga,3
ГЕ,ge,3
ГЁ,gyo,3
ГИ,gi,3
ГО,go,3
ГУ,gu,3
ГЫ,geu,3
ГЭ,ge,3
ГЮ,gyu,3
ГЯ,gya,3
ДА,da,3
ДЕ,de,3
ДЁ,dyo,3
ДИ,di,3
ДО,do,3
ДУ,du,3
ДЫ,deu,3
ДЭ,de,3
ДЮ,dyu,3
ДЯ,dya,3
ЖА,zha,3
ЖЕ,zhe,3
ЖЁ,zhyo,3
ЖИ,zhi,3
ЖО,zho,3
ЖУ,zhu,3
ЖЫ,zheu,3
ЖЭ,zhe,3
ЖЮ,zhyu,3
ЖЯ,zhya,3
ЗА,za,3
ЗЕ,ze,3
ЗЁ,zyo,3
ЗИ,zi,3
ЗО,zo,3
ЗУ,zu,3
ЗЫ,zeu,3
ЗЭ,ze,3
ЗЮ,zyu,3
ЗЯ,zya,3
ЙА,ya,3
ЙЕ,ye,3
ЙЁ,yyo,3
ЙИ,yi,3
ЙО,yo,3
ЙУ,yu,3
ЙЫ,yeu,3
ЙЭ,ye,3
ЙЮ,yyu,3
ЙЯ,yya,3
КА,ka,3
КЕ,ke,3
КЁ,kyo,3
КИ,ki,3
КО,ko,3
КУ,ku,3
КЫ,keu,3
КЭ,ke,3
КЮ,kyu,3
КЯ,kya,3
ЛА,la,3
ЛЕ,le,3
ЛЁ,lyo,3
ЛИ,li,3
ЛО,lo,3
ЛУ,lu,3
ЛЫ,leu,3
ЛЭ,le,3
ЛЮ,lyu,3
ЛЯ,lya,3
МА,ma,3
МЕ,me,3
МЁ,myo,3
МИ,mi,3
МО,mo,3
МУ,mu,3
МЫ,meu,3
МЭ,me,3
МЮ,myu,3
МЯ,mya,3
НА,na,3
НЕ,ne,3
НЁ,nyo,3
НИ,ni,3
НО,no,3
НУ,nu,3
НЫ,neu,3
НЭ,ne,3
НЮ,nyu,3
НЯ,nya,3
ПА,pa,3
ПЕ,pe,3
ПЁ,pyo,3
ПИ,pi,3
ПО,po,3
ПУ,pu,3
ПЫ,peu,3
ПЭ,pe,3
ПЮ,pyu,3
ПЯ,pya,3
РА,ra,3
РЕ,re,3
РЁ,ryo,3
РИ,ri,3
РО,ro,3
РУ,ru,3
РЫ,reu,3
РЭ,re,3
РЮ,ryu,3
РЯ,rya,3
СА,sa,3
СЕ,se,3
СЁ,syo,3
СИ,si,3
СО,so,3
СУ,su,3
СЫ,seu,3
СЭ,se,3
СЮ,syu,3
СЯ,sya,3
ТА,ta,3
ТЕ,te,3
ТЁ,tyo,3
ТИ,ti,3
ТО,to,3
ТУ,tu,3
ТЫ,teu,3
ТЭ,te,3
ТЮ,tyu,3
ТЯ,tya,3
ФА,fa,3
ФЕ,fe,3
ФЁ,fyo,3
ФИ,fi,3
ФО,fo,3
ФУ,fu,3
ФЫ,feu,3
ФЭ,fe,3
ФЮ,fyu,3
ФЯ,fya,3
ХА,kha,3
ХЕ,khe,3
ХЁ,khyo,3
ХИ,khi,3
ХО,kho,3
ХУ,khu,3
ХЫ,kheu,3
ХЭ,khe,3
ХЮ,khyu,3
ХЯ,khya,3
ЦА,tsa,3
ЦЕ,tse,3
ЦЁ,tsyo,3
ЦИ,tsi,3
ЦО,tso,3
ЦУ,tsu,3
ЦЫ,tseu,3
ЦЭ,tse,3
ЦЮ,tsyu,3
ЦЯ,tsya,3
ЧА,cha,3
ЧЕ,che,3
ЧЁ,chyo,3
ЧИ,chi,3
ЧО,cho,3
ЧУ,chu,3
ЧЫ,cheu,3
ЧЭ,che,3
ЧЮ,chyu,3
