cyrillic,romanized,type
А,a,1
Е,e,1
Є,ye,1
И,i,1
І,i,1
Ї,yi,1
О,o,1
У,u,1
Ю,yu,1
Я,ya,1
АБ,ab,2
АВ,av,2
АГ,ah,2
АД,ad,2
АЖ,azh,2
АЗ,az,2
АЙ,ay,2
АК,ak,2
АЛ,al,2
АМ,am,2
АН,an,2
АП,ap,2
АР,ar,2
АС,as,2
АТ,at,2
АФ,af,2
АХ,akh,2
АЦ,ats,2
АЧ,ach,2
АШ,ash,2
АЩ,ashch,2
ЕБ,eb,2
ЕВ,ev,2
ЕГ,eh,2
ЕД,ed,2
ЕЖ,ezh,2
ЕЗ,ez,2
ЕЙ,ey,2
ЕК,ek,2
ЕЛ,el,2
ЕМ,em,2
ЕН,en,2
ЕП,ep,2
ЕР,er,2
ЕС,es,2
ЕТ,et,2
ЕФ,ef,2
ЕХ,ekh,2
ЕЦ,ets,2
ЕЧ,ech,2
ЕШ,esh,2
ЕЩ,eshch,2
ЄБ,yeb,2
ЄВ,yev,2
ЄГ,yeh,2
ЄД,yed,2
ЄЖ,yezh,2
ЄЗ,yez,2
ЄЙ,yey,2
ЄК,yek,2
ЄЛ,yel,2
ЄМ,yem,2
ЄН,yen,2
ЄП,yep,2
ЄР,yer,2
ЄС,yes,2
ЄТ,yet,2
ЄФ,yef,2
ЄХ,yekh,2
ЄЦ,yets,2
ЄЧ,yech,2
ЄШ,yesh,2
ЄЩ,yeshch,2
ИБ,ib,2
ИВ,iv,2
ИГ,ih,2
ИД,id,2
ИЖ,izh,2
ИЗ,iz,2
ИЙ,iy,2
ИК,ik,2
ИЛ,il,2
ИМ,im,2
ИН,in,2
ИП,ip,2
ИР,ir,2
ИС,is,2
ИТ,it,2
ИФ,if,2
ИХ,ikh,2
ИЦ,its,2
ИЧ,ich,2
ИШ,ish,2
ИЩ,ishch,2
ІБ,ib,2
ІВ,iv,2
ІГ,ih,2
ІД,id,2
ІЖ,izh,2
ІЗ,iz,2
ІЙ,iy,2
ІК,ik,2
ІЛ,il,2
ІМ,im,2
ІН,in,2
ІП,ip,2
ІР,ir,2
ІС,is,2
ІТ,it,2
ІФ,if,2
ІХ,ikh,2
ІЦ,its,2
ІЧ,ich,2
ІШ,ish,2
ІЩ,ishch,2
ЇБ,yib,2
ЇВ,yiv,2
ЇГ,yih,2
ЇД,yid,2
ЇЖ,yizh,2
ЇЗ,yiz,2
ЇЙ,yiy,2
ЇК,yik,2
ЇЛ,yil,2
ЇМ,yim,2
ЇН,yin,2
ЇП,yip,2
ЇР,yir,2
ЇС,yis,2
ЇТ,yit,2
ЇФ,yif,2
ЇХ,yikh,2
ЇЦ,yits,2
ЇЧ,yich,2
ЇШ,yish,2
ЇЩ,yishch,2
ОБ,ob,2
ОВ,ov,2
ОГ,oh,2
ОД,od,2
ОЖ,ozh,2
ОЗ,oz,2
ОЙ,oy,2
ОК,ok,2
ОЛ,ol,2
ОМ,om,2
ОН,on,2
ОП,op,2
ОР,or,2
ОС,os,2
ОТ,ot,2
ОФ,of,2
ОХ,okh,2
ОЦ,ots,2
ОЧ,och,2
ОШ,osh,2
ОЩ,oshch,2
УБ,ub,2
УВ,uv,2
УГ,uh,2
УД,ud,2
УЖ,uzh,2
УЗ,uz,2
УЙ,uy,2
УК,uk,2
УЛ,ul,2
УМ,um,2
УН,un,2
УП,up,2
УР,ur,2
УС,us,2
УТ,ut,2
УФ,uf,2
УХ,ukh,2
УЦ,uts,2
УЧ,uch,2
УШ,ush,2
УЩ,ushch,2
ЮБ,yub,2
ЮВ,yuv,2
ЮГ,yuh,2
ЮД,yud,2
ЮЖ,yuzh,2
ЮЗ,yuz,2
ЮЙ,yuy,2
ЮК,yuk,2
ЮЛ,yul,2
ЮМ,yum,2
ЮН,yun,2
ЮП,yup,2
ЮР,yur,2
ЮС,yus,2
ЮТ,yut,2
ЮФ,yuf,2
ЮХ,yukh,2
ЮЦ,yuts,2
ЮЧ,yuch,2
ЮШ,yush,2
ЮЩ,yushch,2
ЯБ,yab,2
ЯВ,yav,2
ЯГ,yah,2
ЯД,yad,2
ЯЖ,yazh,2
ЯЗ,yaz,2
ЯЙ,yay,2
ЯК,yak,2
ЯЛ,yal,2
ЯМ,yam,2
ЯН,yan,2
ЯП,yap,2
ЯР,yar,2
ЯС,yas,2
ЯТ,yat,2
ЯФ,yaf,2
ЯХ,yakh,2
ЯЦ,yats,2
ЯЧ,yach,2
ЯШ,yash,2
ЯЩ,yashch,2
БА,ba,3
БЕ,be,3
БЄ,bye,3
БИ,bi,3
БІ,bi,3
БЇ,byi,3
БО,bo,3
БУ,bu,3
БЮ,byu,3
БЯ,bya,3
ВА,va,3
ВЕ,ve,3
ВЄ,vye,3
ВИ,vi,3
ВІ,vi,3
ВЇ,vyi,3
ВО,vo,3
ВУ,vu,3
ВЮ,vyu,3
ВЯ,vya,3
ГА,ha,3
ГЕ,he,3
ГЄ,hye,3
ГИ,hi,3
ГІ,hi,3
ГЇ,hyi,3
ГО,ho,3
ГУ,hu,3
ГЮ,hyu,3
ГЯ,hya,3
ДА,da,3
ДЕ,de,3
ДЄ,dye,3
ДИ,di,3
ДІ,di,3
ДЇ,dyi,3
ДО,do,3
ДУ,du,3
ДЮ,dyu,3
ДЯ,dya,3
ЖА,zha,3
ЖЕ,zhe,3
ЖЄ,zhye,3
ЖИ,zhi,3
ЖІ,zhi,3
ЖЇ,zhyi,3
ЖО,zho,3
ЖУ,zhu,3
ЖЮ,zhyu,3
ЖЯ,zhya,3
ЗА,za,3
ЗЕ,ze,3
ЗЄ,zye,3
ЗИ,zi,3
ЗІ,zi,3
ЗЇ,zyi,3
ЗО,zo,3
ЗУ,zu,3
ЗЮ,zyu,3
ЗЯ,zya,3
ЙА,ya,3
ЙЕ,ye,3
ЙЄ,yye,3
ЙИ,yi,3
ЙІ,yi,3
ЙЇ,yyi,3
ЙО,yo,3
ЙУ,yu,3
ЙЮ,yyu,3
ЙЯ,yya,3
КА,ka,3
КЕ,ke,3
КЄ,kye,3
КИ,ki,3
КІ,ki,3
КЇ,kyi,3
КО,ko,3
КУ,ku,3
КЮ,kyu,3
КЯ,kya,3
ЛА,la,3
ЛЕ,le,3
ЛЄ,lye,3
ЛИ,li,3
ЛІ,li,3
ЛЇ,lyi,3
ЛО,lo,3
ЛУ,lu,3
ЛЮ,lyu,3
ЛЯ,lya,3
МА,ma,3
МЕ,me,3
МЄ,mye,3
МИ,mi,3
МІ,mi,3
МЇ,myi,3
МО,mo,3
МУ,mu,3
МЮ,myu,3
МЯ,mya,3
НА,na,3
НЕ,ne,3
НЄ,nye,3
НИ,ni,3
НІ,ni,3
НЇ,nyi,3
НО,no,3
НУ,nu,3
НЮ,nyu,3
НЯ,nya,3
ПА,pa,3
ПЕ,pe,3
ПЄ,pye,3
ПИ,pi,3
ПІ,pi,3
ПЇ,pyi,3
ПО,po,3
ПУ,pu,3
ПЮ,pyu,3
ПЯ,pya,3
РА,ra,3
РЕ,re,3
РЄ,rye,3
РИ,ri,3
РІ,ri,3
РЇ,ryi,3
РО,ro,3
РУ,ru,3
РЮ,ryu,3
РЯ,rya,3
СА,sa,3
СЕ,se,3
СЄ,sye,3
СИ,si,3
СІ,si,3
СЇ,syi,3
СО,so,3
СУ,su,3
СЮ,syu,3
СЯ,sya,3
ТА,ta,3
ТЕ,te,3
ТЄ,tye,3
ТИ,ti,3
ТІ,ti,3
ТЇ,tyi,3
ТО,to,3
ТУ,tu,3
ТЮ,tyu,3
ТЯ,tya,3
ФА,fa,3
ФЕ,fe,3
ФЄ,fye,3
ФИ,fi,3
ФІ,fi,3
ФЇ,fyi,3
ФО,fo,3
ФУ,fu,3
ФЮ,fyu,3
ФЯ,fya,3
ХА,kha,3
ХЕ,khe,3
ХЄ,khye,3
ХИ,khi,3
ХІ,khi,3
ХЇ,khyi,3
ХО,kho,3
ХУ,khu,3
ХЮ,khyu,3
ХЯ,khya,3
ЦА,tsa,3
ЦЕ,tse,3
ЦЄ,tsye,3
ЦИ,tsi,3
ЦІ,tsi,3
ЦЇ,tsyi,3
ЦО,tso,3
ЦУ,tsu,3
ЦЮ,tsyu,3
ЦЯ,tsya,3
ЧА,cha,3
ЧЕ,che,3
ЧЄ,chye,3
ЧИ,chi,3
ЧІ,chi,3
ЧЇ,chyi,3
ЧО,cho,3
ЧУ,chu,3
ЧЮ,chyu,3
ЧЯ,chya,3
ША,sha,3
ШЕ,she,3
