Syllable,Romanized
가,ga
갸,gya
거,geo
겨,gyeo
고,go
교,gyo
구,gu
규,gyu
그,geu
기,gi
개,gae
걔,gyae
게,ge
계,gye
과,gwa
괘,gwae
괴,goe
궈,gwo
궤,gwe
귀,gwi
긔,gui
나,na
냐,nya
너,neo
녀,nyeo
노,no
뇨,nyo
누,nu
뉴,nyu
느,neu
니,ni
내,nae
냬,nyae
네,ne
녜,nye
놔,nwa
놰,nwae
뇌,noe
눠,nwo
눼,nwe
뉘,nwi
늬,nui
다,da
댜,dya
더,deo
뎌,dyeo
도,do
됴,dyo
두,du
듀,dyu
드,deu
디,di
대,dae
댸,dyae
데,de
뎨,dye
돠,dwa
돼,dwae
되,doe
둬,dwo
뒈,dwe
뒤,dwi
듸,dui
라,ra
랴,rya
러,reo
려,ryeo
로,ro
료,ryo
루,ru
류,ryu
르,reu
리,ri
래,rae
럐,ryae
레,re
례,rye
롸,rwa
뢔,rwae
뢰,roe
뤄,rwo
뤠,rwe
뤼,rwi
릐,rui
마,ma
먀,mya
머,meo
며,myeo
모,mo
묘,myo
무,mu
뮤,myu
므,meu
미,mi
매,mae
먜,myae
메,me
몌,mye
뫄,mwa
뫠,mwae
뫼,moe
뭐,mwo
뭬,mwe
뮈,mwi
믜,mui
바,ba
뱌,bya
버,beo
벼,byeo
보,bo
뵤,byo
부,bu
뷰,byu
브,beu
비,bi
배,bae
뱨,byae
베,be
볘,bye
봐,bwa
봬,bwae
뵈,boe
붜,bwo
붸,bwe
뷔,bwi
븨,bui
사,sa
샤,sya
서,seo
셔,syeo
소,so
쇼,syo
수,su
슈,syu
스,seu
시,si
새,sae
섀,syae
세,se
셰,sye
솨,swa
쇄,swae
쇠,soe
숴,swo
쉐,swe
쉬,swi
싀,sui
아,a
야,ya
어,eo
여,yeo
오,o
요,yo
우,u
유,yu
으,eu
이,i
애,ae
얘,yae
에,e
예,ye
와,wa
왜,wae
외,oe
워,wo
웨,we
위,wi
의,ui
자,ja
쟈,jya
저,jeo
져,jyeo
조,jo
죠,jyo
주,ju
쥬,jyu
즈,jeu
지,ji
재,jae
쟤,jyae
제,je
졔,jye
좌,jwa
좨,jwae
죄,joe
줘,jwo
줴,jwe
쥐,jwi
즤,jui
차,cha
챠,chya
처,cheo
쳐,chyeo
초,cho
쵸,chyo
추,chu
츄,chyu
츠,cheu
치,chi
채,chae
챼,chyae
체,che
쳬,chye
촤,chwa
쵀,chwae
최,choe
춰,chwo
