Greek,Romanized,Type
Α,a,1
Ε,e,1
Η,i,1
Ι,i,1
Ο,o,1
Υ,y,1
Ω,o,1
ΑΒ,av,2
ΑΓ,ag,2
ΑΔ,ad,2
ΑΖ,az,2
ΑΘ,ath,2
ΑΚ,ak,2
ΑΛ,al,2
ΑΜ,am,2
ΑΝ,an,2
ΑΞ,ax,2
ΑΠ,ap,2
ΑΡ,ar,2
ΑΣ,as,2
ΑΤ,at,2
ΑΦ,af,2
ΑΧ,ach,2
ΑΨ,aps,2
ΕΒ,ev,2
ΕΓ,eg,2
ΕΔ,ed,2
ΕΖ,ez,2
ΕΘ,eth,2
ΕΚ,ek,2
ΕΛ,el,2
ΕΜ,em,2
ΕΝ,en,2
ΕΞ,ex,2
ΕΠ,ep,2
ΕΡ,er,2
ΕΣ,es,2
ΕΤ,et,2
ΕΦ,ef,2
ΕΧ,ech,2
ΕΨ,eps,2
ΗΒ,iv,2
ΗΓ,ig,2
ΗΔ,id,2
ΗΖ,iz,2
ΗΘ,ith,2
ΗΚ,ik,2
ΗΛ,il,2
ΗΜ,im,2
ΗΝ,in,2
ΗΞ,ix,2
ΗΠ,ip,2
ΗΡ,ir,2
ΗΣ,is,2
ΗΤ,it,2
ΗΦ,if,2
ΗΧ,ich,2
ΗΨ,ips,2
ΙΒ,iv,2
ΙΓ,ig,2
ΙΔ,id,2
ΙΖ,iz,2
ΙΘ,ith,2
ΙΚ,ik,2
ΙΛ,il,2
ΙΜ,im,2
ΙΝ,in,2
ΙΞ,ix,2
ΙΠ,ip,2
ΙΡ,ir,2
ΙΣ,is,2
ΙΤ,it,2
ΙΦ,if,2
ΙΧ,ich,2
ΙΨ,ips,2
ΟΒ,ov,2
ΟΓ,og,2
ΟΔ,od,2
ΟΖ,oz,2
ΟΘ,oth,2
ΟΚ,ok,2
ΟΛ,ol,2
ΟΜ,om,2
ΟΝ,on,2
ΟΞ,ox,2
ΟΠ,op,2
ΟΡ,or,2
ΟΣ,os,2
ΟΤ,ot,2
ΟΦ,of,2
ΟΧ,och,2
ΟΨ,ops,2
ΥΒ,yv,2
ΥΓ,yg,2
ΥΔ,yd,2
ΥΖ,yz,2
ΥΘ,yth,2
ΥΚ,yk,2
ΥΛ,yl,2
ΥΜ,ym,2
ΥΝ,yn,2
ΥΞ,yx,2
ΥΠ,yp,2
ΥΡ,yr,2
ΥΣ,ys,2
ΥΤ,yt,2
ΥΦ,yf,2
ΥΧ,ych,2
ΥΨ,yps,2
ΩΒ,ov,2
ΩΓ,og,2
ΩΔ,od,2
ΩΖ,oz,2
ΩΘ,oth,2
ΩΚ,ok,2
ΩΛ,ol,2
ΩΜ,om,2
ΩΝ,on,2
ΩΞ,ox,2
ΩΠ,op,2
ΩΡ,or,2
ΩΣ,os,2
ΩΤ,ot,2
ΩΦ,of,2
ΩΧ,och,2
ΩΨ,ops,2
ΒΑ,va,3
ΒΕ,ve,3
ΒΗ,vi,3
ΒΙ,vi,3
ΒΟ,vo,3
ΒΥ,vy,3
ΒΩ,vo,3
ΓΑ,ga,3
ΓΕ,ge,3
ΓΗ,gi,3
ΓΙ,gi,3
ΓΟ,go,3
ΓΥ,gy,3
ΓΩ,go,3
ΔΑ,da,3
ΔΕ,de,3
ΔΗ,di,3
ΔΙ,di,3
ΔΟ,do,3
ΔΥ,dy,3
ΔΩ,do,3
ΖΑ,za,3
ΖΕ,ze,3
ΖΗ,zi,3
ΖΙ,zi,3
ΖΟ,zo,3
ΖΥ,zy,3
ΖΩ,zo,3
ΘΑ,tha,3
ΘΕ,the,3
ΘΗ,thi,3
ΘΙ,thi,3
ΘΟ,tho,3
ΘΥ,thy,3
ΘΩ,tho,3
ΚΑ,ka,3
ΚΕ,ke,3
ΚΗ,ki,3
ΚΙ,ki,3
ΚΟ,ko,3
ΚΥ,ky,3
ΚΩ,ko,3
ΛΑ,la,3
ΛΕ,le,3
ΛΗ,li,3
ΛΙ,li,3
ΛΟ,lo,3
ΛΥ,ly,3
ΛΩ,lo,3
ΜΑ,ma,3
ΜΕ,me,3
ΜΗ,mi,3
ΜΙ,mi,3
ΜΟ,mo,3
ΜΥ,my,3
ΜΩ,mo,3
ΝΑ,na,3
ΝΕ,ne,3
