Syllable,Romanized
ァ,a
ィ,i
ゥ,u
ェ,e
ォ,o
カ,ka
キ,ki
ク,ku
ケ,ke
コ,ko
サ,sa
シ,shi
ス,su
セ,se
ソ,so
タ,ta
チ,chi
ツ,tsu
テ,te
ト,to
ナ,na
ニ,ni
ヌ,nu
ネ,ne
ノ,no
ハ,ha
ヒ,hi
フ,fu
ヘ,he
ホ,ho
マ,ma
ミ,mi
ム,mu
メ,me
モ,mo
ヤ,ya
ユ,yu
ヨ,yo
ラ,ra
リ,ri
ル,ru
レ,re
ロ,ro
ワ,wa
ヲ,wo
ン,n
ガ,ga
ギ,gi
グ,gu
ゲ,ge
ゴ,go
ザ,za
ジ,ji
ズ,zu
ゼ,ze
ゾ,zo
ダ,da
ヂ,ji
ヅ,zu
デ,de
ド,do
バ,ba
ビ,bi
ブ,bu
ベ,be
ボ,bo
パ,pa
ピ,pi
プ,pu
ペ,pe
ポ,po
キャ,kyaa
キュ,kyuu
キョ,kyo
ギャ,gyaa
ギュ,gyuu
ギョ,gyo
シャ,shaa
シュ,shuu
ショ,sho
ジャ,ja
ジュ,juu
ジョ,jo
チャ,cha
チュ,chu
チョ,cho
ニャ,nya
ニュ,nyuu
ニョ,nyo
ヒャ,hyaa
ヒュ,hyuu
ヒョ,hyo
ビャ,byaa
ビュ,byuu
ビョ,byo
ピャ,pyaa
ピュ,pyuu
ピョ,pyo
ミャ,myaa
ミュ,myuu
ミョ,myo
リャ,ryaa
リュ,ryuu
リョ,ryo
ヴァ,va
ヴィ,vi
ヴ,vu
ヴェ,ve
ヴォ,vo
ファ,fa
フィ,fi
フェ,fe
フォ,fo
ティ,ti
テォ,to
ディ,di
デォ,do
チェ,che
ウィ,wi
ウェ,we
ヲ,wo
シェ,she
ジェ,je
