cyrillic,romanized,type
А,a,1
Е,e,1
И,i,1
О,o,1
У,u,1
Ъ,a,1
Ю,yu,1
Я,ya,1
АБ,ab,2
АВ,av,2
АГ,ag,2
АД,ad,2
АЖ,azh,2
АЗ,az,2
АЙ,ay,2
АК,ak,2
АЛ,al,2
АМ,am,2
АН,an,2
АП,ap,2
АР,ar,2
АС,as,2
АТ,at,2
АФ,af,2
АХ,ah,2
АЦ,ats,2
АЧ,ach,2
АШ,ash,2
АЩ,asht,2
ЕБ,eb,2
ЕВ,ev,2
ЕГ,eg,2
ЕД,ed,2
ЕЖ,ezh,2
ЕЗ,ez,2
ЕЙ,ey,2
ЕК,ek,2
ЕЛ,el,2
ЕМ,em,2
ЕН,en,2
ЕП,ep,2
ЕР,er,2
ЕС,es,2
ЕТ,et,2
ЕФ,ef,2
ЕХ,eh,2
ЕЦ,ets,2
ЕЧ,ech,2
ЕШ,esh,2
ЕЩ,esht,2
ИБ,ib,2
ИВ,iv,2
ИГ,ig,2
ИД,id,2
ИЖ,izh,2
ИЗ,iz,2
ИЙ,iy,2
ИК,ik,2
ИЛ,il,2
ИМ,im,2
ИН,in,2
ИП,ip,2
ИР,ir,2
ИС,is,2
ИТ,it,2
ИФ,if,2
ИХ,ih,2
ИЦ,its,2
ИЧ,ich,2
ИШ,ish,2
ИЩ,isht,2
ОБ,ob,2
ОВ,ov,2
ОГ,og,2
ОД,od,2
ОЖ,ozh,2
ОЗ,oz,2
ОЙ,oy,2
ОК,ok,2
ОЛ,ol,2
ОМ,om,2
ОН,on,2
ОП,op,2
ОР,or,2
ОС,os,2
ОТ,ot,2
ОФ,of,2
ОХ,oh,2
ОЦ,ots,2
ОЧ,och,2
ОШ,osh,2
ОЩ,osht,2
УБ,ub,2
УВ,uv,2
УГ,ug,2
УД,ud,2
УЖ,uzh,2
УЗ,uz,2
УЙ,uy,2
УК,uk,2
УЛ,ul,2
УМ,um,2
УН,un,2
УП,up,2
УР,ur,2
УС,us,2
УТ,ut,2
УФ,uf,2
УХ,uh,2
УЦ,uts,2
УЧ,uch,2
УШ,ush,2
УЩ,usht,2
ЪБ,ab,2
ЪВ,av,2
ЪГ,ag,2
ЪД,ad,2
ЪЖ,azh,2
ЪЗ,az,2
ЪЙ,ay,2
ЪК,ak,2
ЪЛ,al,2
ЪМ,am,2
ЪН,an,2
ЪП,ap,2
ЪР,ar,2
ЪС,as,2
ЪТ,at,2
ЪФ,af,2
ЪХ,ah,2
ЪЦ,ats,2
ЪЧ,ach,2
ЪШ,ash,2
ЪЩ,asht,2
ЮБ,yub,2
ЮВ,yuv,2
ЮГ,yug,2
ЮД,yud,2
ЮЖ,yuzh,2
ЮЗ,yuz,2
ЮЙ,yuy,2
ЮК,yuk,2
ЮЛ,yul,2
ЮМ,yum,2
ЮН,yun,2
ЮП,yup,2
ЮР,yur,2
ЮС,yus,2
ЮТ,yut,2
ЮФ,yuf,2
ЮХ,yuh,2
ЮЦ,yuts,2
ЮЧ,yuch,2
ЮШ,yush,2
ЮЩ,yusht,2
ЯБ,yab,2
ЯВ,yav,2
ЯГ,yag,2
ЯД,yad,2
ЯЖ,yazh,2
ЯЗ,yaz,2
ЯЙ,yay,2
ЯК,yak,2
ЯЛ,yal,2
ЯМ,yam,2
ЯН,yan,2
ЯП,yap,2
ЯР,yar,2
ЯС,yas,2
ЯТ,yat,2
ЯФ,yaf,2
ЯХ,yah,2
ЯЦ,yats,2
ЯЧ,yach,2
ЯШ,yash,2
ЯЩ,yasht,2
БА,ba,3
БЕ,be,3
БИ,bi,3
БО,bo,3
БУ,bu,3
БЪ,ba,3
БЮ,byu,3
БЯ,bya,3
ВА,va,3
ВЕ,ve,3
ВИ,vi,3
ВО,vo,3
ВУ,vu,3
ВЪ,va,3
ВЮ,vyu,3
ВЯ,vya,3
ГА,ga,3
ГЕ,ge,3
ГИ,gi,3
ГО,go,3
ГУ,gu,3
ГЪ,ga,3
ГЮ,gyu,3
ГЯ,gya,3
ДА,da,3
ДЕ,de,3
ДИ,di,3
ДО,do,3
ДУ,du,3
ДЪ,da,3
ДЮ,dyu,3
ДЯ,dya,3
ЖА,zha,3
ЖЕ,zhe,3
ЖИ,zhi,3
ЖО,zho,3
ЖУ,zhu,3
ЖЪ,zha,3
ЖЮ,zhyu,3
ЖЯ,zhya,3
ЗА,za,3
ЗЕ,ze,3
ЗИ,zi,3
ЗО,zo,3
ЗУ,zu,3
ЗЪ,za,3
ЗЮ,zyu,3
ЗЯ,zya,3
ЙА,ya,3
ЙЕ,ye,3
ЙИ,yi,3
ЙО,yo,3
ЙУ,yu,3
ЙЪ,ya,3
ЙЮ,yyu,3
ЙЯ,yya,3
КА,ka,3
КЕ,ke,3
КИ,ki,3
КО,ko,3
КУ,ku,3
КЪ,ka,3
КЮ,kyu,3
КЯ,kya,3
ЛА,la,3
ЛЕ,le,3
ЛИ,li,3
ЛО,lo,3
ЛУ,lu,3
ЛЪ,la,3
ЛЮ,lyu,3
ЛЯ,lya,3
МА,ma,3
МЕ,me,3
МИ,mi,3
МО,mo,3
МУ,mu,3
МЪ,ma,3
МЮ,myu,3
МЯ,mya,3
НА,na,3
НЕ,ne,3
НИ,ni,3
НО,no,3
НУ,nu,3
НЪ,na,3
НЮ,nyu,3
НЯ,nya,3
ПА,pa,3
ПЕ,pe,3
ПИ,pi,3
ПО,po,3
ПУ,pu,3
ПЪ,pa,3
ПЮ,pyu,3
ПЯ,pya,3
РА,ra,3
РЕ,re,3
РИ,ri,3
РО,ro,3
РУ,ru,3
РЪ,ra,3
РЮ,ryu,3
РЯ,rya,3
СА,sa,3
СЕ,se,3
СИ,si,3
СО,so,3
СУ,su,3
СЪ,sa,3
СЮ,syu,3
СЯ,sya,3
ТА,ta,3
ТЕ,te,3
ТИ,ti,3
ТО,to,3
ТУ,tu,3
ТЪ,ta,3
ТЮ,tyu,3
ТЯ,tya,3
ФА,fa,3
ФЕ,fe,3
ФИ,fi,3
ФО,fo,3
ФУ,fu,3
ФЪ,fa,3
ФЮ,fyu,3
ФЯ,fya,3
ХА,ha,3
ХЕ,he,3
ХИ,hi,3
ХО,ho,3
ХУ,hu,3
ХЪ,ha,3
ХЮ,hyu,3
ХЯ,hya,3
ЦА,tsa,3
ЦЕ,tse,3
ЦИ,tsi,3
ЦО,tso,3
ЦУ,tsu,3
ЦЪ,tsa,3
ЦЮ,tsyu,3
ЦЯ,tsya,3
ЧА,cha,3
ЧЕ,che,3
ЧИ,chi,3
ЧО,cho,3
ЧУ,chu,3
ЧЪ,cha,3
ЧЮ,chyu,3
ЧЯ,chya,3
ША,sha,3
ШЕ,she,3
ШИ,shi,3
ШО,sho,3
ШУ,shu,3
ШЪ,sha,3
ШЮ,shyu,3
ШЯ,shya,3
ЩА,shta,3
ЩЕ,shte,3
ЩИ,shti,3
ЩО,shto,3
ЩУ,shtu,3
ЩЪ,shta,3
ЩЮ,shtyu,3
ЩЯ,shtya,3
БАБ,bab,4
БАВ,bav,4
БАГ,bag,4
БАД,bad,4
БАЖ,bazh,4
БАЗ,baz,4
БАЙ,bay,4
БАК,bak,4
БАЛ,bal,4
БАМ,bam,4
БАН,ban,4
БАП,bap,4
БАР,bar,4
БАС,bas,4
БАТ,bat,4
БАФ,baf,4
БАХ,bah,4
БАЦ,bats,4
БАЧ,bach,4
БАШ,bash,4
БАЩ,basht,4
БЕБ,beb,4
БЕВ,bev,4
БЕГ,beg,4
БЕД,bed,4
БЕЖ,bezh,4
БЕЗ,bez,4
БЕЙ,bey,4
БЕК,bek,4
БЕЛ,bel,4
БЕМ,bem,4
БЕН,ben,4
БЕП,bep,4
БЕР,ber,4
БЕС,bes,4
БЕТ,bet,4
БЕФ,bef,4
БЕХ,beh,4
БЕЦ,bets,4
БЕЧ,bech,4
БЕШ,besh,4
БЕЩ,besht,4
БИБ,bib,4
БИВ,biv,4
БИГ,big,4
БИД,bid,4
БИЖ,bizh,4
БИЗ,biz,4
БИЙ,biy,4
БИК,bik,4
БИЛ,bil,4
БИМ,bim,4
БИН,bin,4
БИП,bip,4
БИР,bir,4
БИС,bis,4
БИТ,bit,4
БИФ,bif,4
БИХ,bih,4
БИЦ,bits,4
БИЧ,bich,4
БИШ,bish,4
БИЩ,bisht,4
БОБ,bob,4
БОВ,bov,4
БОГ,bog,4
БОД,bod,4
БОЖ,bozh,4
БОЗ,boz,4
БОЙ,boy,4
БОК,bok,4
БОЛ,bol,4
