Syllable,Romanized
가,ga
각,gak
갂,gak
갃,gak
간,gan
갅,gan
갇,gat
갈,gal
갉,gak
갊,gam
갋,gal
갌,gal
갍,gal
갎,gap
감,gam
갑,gap
값,gap
갓,gat
갔,gat
강,gang
갖,gat
갗,gat
갘,gak
같,gat
갚,gap
갛,ga
갸,gya
갹,gyak
갺,gyak
갻,gyak
갼,gyan
갽,gyan
갿,gyat
걀,gyal
걁,gyak
걂,gyam
걃,gyal
걄,gyal
걅,gyal
걆,gyap
걈,gyam
걉,gyap
걊,gyap
걋,gyat
걌,gyat
걍,gyang
걎,gyat
걏,gyat
걐,gyak
걑,gyat
걒,gyap
걓,gya
거,geo
걱,geok
걲,geok
걳,geok
건,geon
걵,geon
걷,geot
걸,geol
걹,geok
걺,geom
걻,geol
걼,geol
걽,geol
걾,geop
검,geom
겁,geop
겂,geop
것,geot
겄,geot
겅,geong
겆,geot
겇,geot
겈,geok
겉,geot
겊,geop
겋,geo
겨,gyeo
격,gyeok
겪,gyeok
겫,gyeok
견,gyeon
겭,gyeon
겯,gyeot
결,gyeol
겱,gyeok
겲,gyeom
겳,gyeol
겴,gyeol
겵,gyeol
겶,gyeop
겸,gyeom
겹,gyeop
겺,gyeop
겻,gyeot
겼,gyeot
경,gyeong
겾,gyeot
겿,gyeot
곀,gyeok
곁,gyeot
곂,gyeop
곃,gyeo
고,go
곡,gok
곢,gok
곣,gok
곤,gon
곥,gon
곧,got
골,gol
곩,gok
곪,gom
곫,gol
곬,gol
곭,gol
곮,gop
곰,gom
곱,gop
곲,gop
곳,got
곴,got
공,gong
곶,got
곷,got
곸,gok
곹,got
곺,gop
곻,go
교,gyo
굑,gyok
굒,gyok
굓,gyok
굔,gyon
굕,gyon
굗,gyot
굘,gyol
굙,gyok
굚,gyom
굛,gyol
굜,gyol
굝,gyol
굞,gyop
굠,gyom
굡,gyop
굢,gyop
굣,gyot
굤,gyot
굥,gyong
굦,gyot
굧,gyot
굨,gyok
굩,gyot
굪,gyop
굫,gyo
구,gu
국,guk
굮,guk
굯,guk
군,gun
굱,gun
굳,gut
굴,gul
굵,guk
굶,gum
굷,gul
굸,gul
굹,gul
굺,gup
굼,gum
굽,gup
굾,gup
굿,gut
궀,gut
궁,gung
궂,gut
궃,gut
궄,guk
궅,gut
궆,gup
궇,gu
규,gyu
귝,gyuk
귞,gyuk
귟,gyuk
균,gyun
귡,gyun
귣,gyut
귤,gyul
귥,gyuk
귦,gyum
귧,gyul
귨,gyul
귩,gyul
귪,gyup
귬,gyum
귭,gyup
귮,gyup
귯,gyut
귰,gyut
귱,gyung
귲,gyut
귳,gyut
귴,gyuk
귵,gyut
귶,gyup
귷,gyu
그,geu
극,geuk
귺,geuk
귻,geuk
근,geun
귽,geun
귿,geut
글,geul
긁,geuk
긂,geum
긃,geul
긄,geul
긅,geul
긆,geup
금,geum
급,geup
긊,geup
긋,geut
긌,geut
긍,geung
긎,geut
긏,geut
긐,geuk
긑,geut
긒,geup
긓,geu
기,gi
긱,gik
긲,gik
긳,gik
긴,gin
긵,gin
긷,git
길,gil
긹,gik
긺,gim
긻,gil
긼,gil
긽,gil
긾,gip
김,gim
깁,gip
깂,gip
깃,git
깄,git
깅,ging
깆,git
깇,git
깈,gik
깉,git
깊,gip
깋,gi
개,gae
객,gaek
갞,gaek
갟,gaek
갠,gaen
갡,gaen
갣,gaet
갤,gael
갥,gaek
갦,gaem
갧,gael
갨,gael
갩,gael
갪,gaep
갬,gaem
갭,gaep
갮,gaep
갯,gaet
갰,gaet
갱,gaeng
갲,gaet
갳,gaet
갴,gaek
갵,gaet
갶,gaep
갷,gae
걔,gyae
걕,gyaek
걖,gyaek
걗,gyaek
걘,gyaen
걙,gyaen
걛,gyaet
걜,gyael
걝,gyaek
걞,gyaem
걟,gyael
걠,gyael
걡,gyael
걢,gyaep
걤,gyaem
걥,gyaep
걦,gyaep
걧,gyaet
걨,gyaet
걩,gyaeng
걪,gyaet
걫,gyaet
걬,gyaek
걭,gyaet
걮,gyaep
걯,gyae
게,ge
겍,gek
겎,gek
겏,gek
겐,gen
겑,gen
겓,get
겔,gel
겕,gek
겖,gem
겗,gel
겘,gel
겙,gel
겚,gep
겜,gem
겝,gep
겞,gep
겟,get
겠,get
겡,geng
겢,get
겣,get
겤,gek
겥,get
겦,gep
겧,ge
계,gye
곅,gyek
곆,gyek
곇,gyek
곈,gyen
곉,gyen
곋,gyet
곌,gyel
곍,gyek
곎,gyem
곏,gyel
곐,gyel
곑,gyel
곒,gyep
곔,gyem
곕,gyep
곖,gyep
곗,gyet
곘,gyet
곙,gyeng
곚,gyet
곛,gyet
곜,gyek
곝,gyet
곞,gyep
곟,gye
과,gwa
곽,gwak
곾,gwak
곿,gwak
관,gwan
괁,gwan
괃,gwat
괄,gwal
괅,gwak
괆,gwam
괇,gwal
괈,gwal
괉,gwal
괊,gwap
괌,gwam
괍,gwap
괎,gwap
괏,gwat
괐,gwat
광,gwang
괒,gwat
괓,gwat
괔,gwak
괕,gwat
괖,gwap
괗,gwa
괘,gwae
괙,gwaek
괚,gwaek
괛,gwaek
괜,gwaen
괝,gwaen
괟,gwaet
괠,gwael
괡,gwaek
괢,gwaem
괣,gwael
괤,gwael
괥,gwael
괦,gwaep
괨,gwaem
괩,gwaep
괪,gwaep
괫,gwaet
괬,gwaet
괭,gwaeng
괮,gwaet
괯,gwaet
괰,gwaek
괱,gwaet
괲,gwaep
괳,gwae
괴,goe
괵,goek
괶,goek
괷,goek
괸,goen
괹,goen
괻,goet
괼,goel
괽,goek
괾,goem
괿,goel
굀,goel
굁,goel
굂,goep
굄,goem
굅,goep
굆,goep
굇,goet
굈,goet
굉,goeng
굊,goet
굋,goet
굌,goek
굍,goet
굎,goep
굏,goe
궈,gwo
궉,gwok
궊,gwok
궋,gwok
권,gwon
궍,gwon
궏,gwot
궐,gwol
궑,gwok
궒,gwom
궓,gwol
궔,gwol
궕,gwol
궖,gwop
궘,gwom
궙,gwop
궚,gwop
궛,gwot
궜,gwot
궝,gwong
궞,gwot
궟,gwot
궠,gwok
궡,gwot
궢,gwop
궣,gwo
궤,gwe
궥,gwek
궦,gwek
궧,gwek
궨,gwen
궩,gwen
궫,gwet
궬,gwel
궭,gwek
궮,gwem
궯,gwel
궰,gwel
궱,gwel
궲,gwep
궴,gwem
궵,gwep
궶,gwep
궷,gwet
궸,gwet
궹,gweng
궺,gwet
궻,gwet
궼,gwek
궽,gwet
궾,gwep
궿,gwe
귀,gwi
귁,gwik
귂,gwik
귃,gwik
귄,gwin
귅,gwin
귇,gwit
귈,gwil
귉,gwik
귊,gwim
귋,gwil
귌,gwil
귍,gwil
귎,gwip
귐,gwim
귑,gwip
귒,gwip
귓,gwit
귔,gwit
귕,gwing
귖,gwit
귗,gwit
귘,gwik
귙,gwit
귚,gwip
귛,gwi
긔,gui
긕,guik
긖,guik
긗,guik
긘,guin
긙,guin
긛,guit
긜,guil
긝,guik
긞,guim
긟,guil
긠,guil
긡,guil
긢,guip
긤,guim
긥,guip
긦,guip
긧,guit
긨,guit
긩,guing
긪,guit
긫,guit
긬,guik
긭,guit
긮,guip
긯,gui
나,na
낙,nak
낚,nak
낛,nak
난,nan
낝,nan
낟,nat
날,nal
낡,nak
낢,nam
낣,nal
낤,nal
낥,nal
낦,nap
남,nam
납,nap
낪,nap
낫,nat
났,nat
낭,nang
낮,nat
낯,nat
낰,nak
낱,nat
낲,nap
낳,na
냐,nya
냑,nyak
냒,nyak
냓,nyak
냔,nyan
냕,nyan
냗,nyat
냘,nyal
냙,nyak
냚,nyam
냛,nyal
냜,nyal
냝,nyal
냞,nyap
냠,nyam
냡,nyap
냢,nyap
냣,nyat
냤,nyat
냥,nyang
냦,nyat
냧,nyat
냨,nyak
냩,nyat
냪,nyap
냫,nya
너,neo
넉,neok
넊,neok
넋,neok
넌,neon
넍,neon
넏,neot
널,neol
넑,neok
넒,neom
넓,neol
넔,neol
넕,neol
넖,neop
넘,neom
넙,neop
넚,neop
넛,neot
넜,neot
넝,neong
넞,neot
넟,neot
넠,neok
넡,neot
넢,neop
넣,neo
녀,nyeo
녁,nyeok
녂,nyeok
녃,nyeok
년,nyeon
녅,nyeon
녇,nyeot
녈,nyeol
녉,nyeok
녊,nyeom
녋,nyeol
녌,nyeol
녍,nyeol
녎,nyeop
념,nyeom
녑,nyeop
녒,nyeop
녓,nyeot
녔,nyeot
녕,nyeong
녖,nyeot
녗,nyeot
녘,nyeok
녙,nyeot
녚,nyeop
녛,nyeo
노,no
녹,nok
녺,nok
녻,nok
논,non
녽,non
녿,not
놀,nol
놁,nok
놂,nom
놃,nol
놄,nol
놅,nol
놆,nop
놈,nom
놉,nop
놊,nop
놋,not
놌,not
농,nong
놎,not
놏,not
놐,nok
놑,not
높,nop
놓,no
뇨,nyo
뇩,nyok
뇪,nyok
뇫,nyok
뇬,nyon
뇭,nyon
뇯,nyot
뇰,nyol
뇱,nyok
뇲,nyom
뇳,nyol
뇴,nyol
뇵,nyol
뇶,nyop
뇸,nyom
뇹,nyop
뇺,nyop
뇻,nyot
뇼,nyot
뇽,nyong
뇾,nyot
뇿,nyot
눀,nyok
눁,nyot
눂,nyop
눃,nyo
누,nu
눅,nuk
눆,nuk
눇,nuk
눈,nun
눉,nun
눋,nut
눌,nul
눍,nuk
눎,num
눏,nul
눐,nul
눑,nul
눒,nup
눔,num
눕,nup
눖,nup
눗,nut
눘,nut
눙,nung
눚,nut
눛,nut
눜,nuk
눝,nut
눞,nup
눟,nu
뉴,nyu
뉵,nyuk
뉶,nyuk
뉷,nyuk
뉸,nyun
뉹,nyun
뉻,nyut
뉼,nyul
뉽,nyuk
뉾,nyum
뉿,nyul
늀,nyul
늁,nyul
늂,nyup
늄,nyum
늅,nyup
늆,nyup
늇,nyut
늈,nyut
늉,nyung
늊,nyut
늋,nyut
늌,nyuk
늍,nyut
늎,nyup
늏,nyu
느,neu
늑,neuk
늒,neuk
늓,neuk
는,neun
늕,neun
늗,neut
늘,neul
늙,neuk
늚,neum
늛,neul
늜,neul
늝,neul
늞,neup
늠,neum
늡,neup
늢,neup
늣,neut
늤,neut
능,neung
늦,neut
늧,neut
늨,neuk
늩,neut
늪,neup
늫,neu
니,ni
닉,nik
닊,nik
닋,nik
닌,nin
닍,nin
닏,nit
닐,nil
닑,nik
닒,nim
닓,nil
닔,nil
닕,nil
닖,nip
님,nim
닙,nip
닚,nip
닛,nit
닜,nit
닝,ning
닞,nit
닟,nit
닠,nik
닡,nit
닢,nip
닣,ni
내,nae
낵,naek
낶,naek
낷,naek
낸,naen
낹,naen
낻,naet
낼,nael
낽,naek
낾,naem
낿,nael
냀,nael
냁,nael
냂,naep
냄,naem
냅,naep
냆,naep
냇,naet
냈,naet
냉,naeng
냊,naet
냋,naet
냌,naek
냍,naet
냎,naep
냏,nae
냬,nyae
냭,nyaek
냮,nyaek
냯,nyaek
냰,nyaen
냱,nyaen
냳,nyaet
냴,nyael
냵,nyaek
냶,nyaem
냷,nyael
냸,nyael
냹,nyael
냺,nyaep
냼,nyaem
냽,nyaep
냾,nyaep
냿,nyaet
넀,nyaet
넁,nyaeng
넂,nyaet
넃,nyaet
넄,nyaek
넅,nyaet
넆,nyaep
넇,nyae
네,ne
넥,nek
